date,amount,category,Text
2025-03-27,1.0,Public transport,
2025-03-27,1.0,Public transport,
2025-03-28,3.0,Taxi,
2025-03-28,2.0,Taxi,
2025-03-28,36.0,Other,
2025-03-28,1.0,Public transport,
2025-03-28,1.0,Public transport,
2025-03-28,1.0,Public transport,
2025-03-28,6.0,Cafe,
2025-03-28,1.0,Public transport,
2025-03-29,0.0,Food,
2025-03-29,9.0,Food,
2025-03-31,1.0,Public transport,
2025-03-31,15.0,Taxi,
2025-03-31,12.0,Other,
2025-03-31,1.0,Public transport,
2025-03-31,3.0,Cafe,
2025-03-31,1.0,Public transport,
2025-04-01,1.0,Public transport,
2025-04-01,1.0,Public transport,
2025-04-01,1.0,Public transport,
2025-04-01,2.0,Cafe,
2025-04-01,3.0,Cafe,
2025-04-01,1.0,Public transport,
2025-04-02,1.0,Public transport,
2025-04-02,4.0,Food,
2025-04-02,1.0,Public transport,
2025-04-02,1.0,Public transport,
2025-04-02,2.0,Public transport,
2025-04-02,7.0,Taxi,
2025-04-02,6.0,Cafe,
2025-04-02,1.0,Cafe,
2025-04-02,1.0,Public transport,
2025-04-03,14.0,Food,
2025-04-03,3.0,Cafe,
2025-04-03,1.0,Public transport,
2025-04-03,3.0,Cafe,
2025-04-04,1.0,Public transport,
2025-04-04,3.0,Cafe,
2025-04-04,1.0,Public transport,
2025-04-05,5.0,Taxi,
2025-04-05,13.0,Taxi,
2025-04-07,1.0,Public transport,
2025-04-07,3.0,Cafe,
2025-04-07,41.0,Leisure,
2025-04-07,1.0,Public transport,
2025-04-08,1.0,Public transport,
2025-04-08,1.0,Public transport,
2025-04-08,1.0,Public transport,
2025-04-08,6.0,Cafe,
2025-04-08,9.0,Taxi,
2025-04-09,1.0,Public transport,
2025-04-09,11.0,Food,
2025-04-09,4.0,Cafe,
2025-04-09,1.0,Public transport,
2025-04-09,6.0,Cafe,
2025-04-10,1.0,Public transport,
2025-04-10,6.0,Cafe,
2025-04-10,9.0,Taxi,
2025-04-10,1.0,Public transport,
2025-04-11,161.0,Clothes,
2025-04-11,1.0,Public transport,
2025-04-12,1.0,Public transport,
2025-04-12,1.0,Public transport,
2025-04-14,1.0,Public transport,
2025-04-14,1.0,Public transport,
2025-04-14,1.0,Public transport,
2025-04-14,9.0,Gifts,
2025-04-14,3.0,Cafe,
2025-04-15,1.0,Public transport,
2025-04-15,5.0,Cafe,
2025-04-15,6.0,Cafe,
2025-04-15,1.0,Public transport,
2025-04-16,1.0,Public transport,
2025-04-16,1.0,Cafe,
2025-04-16,1.0,Public transport,
2025-04-16,1.0,Public transport,
2025-04-17,1.0,Public transport,
2025-04-18,15.0,Cafe,
2025-04-18,12.0,Gifts,
2025-04-18,1.0,Public transport,
2025-04-18,1.0,Public transport,
2025-04-19,2.0,Food,
2025-04-21,1.0,Public transport,
2025-04-21,1.0,Public transport,
2025-04-21,1.0,Public transport,
2025-04-22,2.0,Food,
2025-04-22,23.0,Cafe,
2025-04-22,1.0,Public transport,
2025-04-22,1.0,Public transport,
2025-04-23,1.0,Public transport,
2025-04-23,1.0,Public transport,
2025-04-23,1.0,Public transport,
2025-04-23,1.0,Public transport,
2025-04-23,1.0,Public transport,
2025-04-25,16.0,Food,
2025-04-25,2.0,Cafe,
2025-04-25,25.0,Health,
2025-04-25,11.0,Taxi,
2025-04-26,12.0,Taxi,
2025-04-26,5.0,Cafe,
2025-04-27,0.0,Cafe,
2025-04-27,0.0,Cafe,
2025-04-27,5.0,Cafe,
2025-04-27,5.0,Leisure,
2025-04-28,5.0,Food,
2025-04-29,654.0,Other,
2025-05-01,12.0,Taxi,
2025-05-01,11.0,Food,
2025-05-02,33.0,Leisure,
2025-05-02,1.0,Public transport,
2025-05-02,4.0,Cafe,
2025-05-03,1.0,Public transport,
2025-05-03,16.0,Taxi,
2025-05-04,1.0,Food,
2025-05-04,17.0,Cafe,
2025-05-05,4.0,Food,
2025-05-05,14.0,Taxi,
2025-05-05,5.0,Cafe,
2025-05-05,1.0,Public transport,
2025-05-06,1.0,Public transport,
2025-05-06,1.0,Public transport,
2025-05-06,1.0,Public transport,
2025-05-06,1.0,Public transport,
2025-05-07,1.0,Public transport,
2025-05-07,5.0,Cafe,
2025-05-07,1.0,Public transport,
2025-05-07,1.0,Public transport,
2025-05-08,1.0,Public transport,
2025-05-09,11.0,Cafe,
2025-05-09,9.0,Gifts,
2025-05-09,8.0,Gifts,
2025-05-11,10.0,Taxi,
2025-05-12,42.0,Gifts,
2025-05-12,1.0,Public transport,
2025-05-12,5.0,Cafe,
2025-05-13,1.0,Public transport,
2025-05-13,1.0,Public transport,
2025-05-13,1.0,Public transport,
2025-05-13,8.0,Cafe,
2025-05-14,1.0,Public transport,
2025-05-14,5.0,Cafe,
2025-05-14,1.0,Public transport,
2025-05-15,1.0,Public transport,
2025-05-15,1.0,Public transport,
2025-05-15,1.0,Public transport,
2025-05-15,33.0,Gifts,
2025-05-15,6.0,Cafe,
2025-05-15,1.0,Public transport,
2025-05-16,6.0,Cafe,
2025-05-16,14.0,Taxi,
2025-05-18,9.0,Gifts,
2025-05-18,6.0,Food,
2025-05-19,3.0,Job,
2025-05-19,23.0,Job,
2025-05-20,1.0,Public transport,
2025-05-20,1.0,Public transport,
2025-05-20,1.0,Public transport,
2025-05-21,1.0,Public transport,
2025-05-21,1.0,Public transport,
2025-05-21,3.0,Cafe,
2025-05-21,1.0,Cafe,
2025-05-21,1.0,Public transport,
2025-05-22,2.0,Cafe,
2025-05-22,1.0,Public transport,
2025-05-23,1.0,Public transport,
2025-05-23,1.0,Public transport,
2025-05-23,1.0,Cafe,
2025-05-23,1.0,Public transport,
2025-05-24,2.0,Public transport,
2025-05-24,20.0,Cafe,
2025-05-24,42.0,Leisure,
2025-05-24,24.0,Taxi,
2025-05-25,2.0,Cafe,
2025-05-25,18.0,Taxi,
2025-05-25,139.0,Gifts,
2025-05-27,1.0,Public transport,
2025-05-27,3.0,Cafe,
2025-05-27,1.0,Cafe,
2025-05-27,1.0,Public transport,
2025-05-28,2.0,Public transport,
2025-05-28,1.0,Public transport,
2025-05-28,6.0,Cafe,
2025-05-28,1.0,Public transport,
2025-05-29,3.0,Cafe,
2025-05-29,2.0,Cafe,
2025-05-29,1.0,Public transport,
2025-05-29,2.0,University,
2025-05-30,1.0,Public transport,
2025-05-30,1.0,Public transport,
2025-05-30,11.0,Food,
2025-06-02,1.0,Public transport,
2025-06-02,5.0,Public transport,
2025-06-02,6.0,Food,
2025-06-02,1.0,Food,
2025-06-03,1.0,Public transport,
2025-06-03,23.0,Food,
2025-06-03,1.0,Public transport,
2025-06-03,1.0,Public transport,
2025-06-03,5.0,Cafe,
2025-06-03,1.0,Public transport,
2025-06-04,27.0,Health,
2025-06-04,1.0,Public transport,
2025-06-06,15.0,Taxi,
2025-06-06,6.0,Food,
2025-06-07,1.0,Public transport,
2025-06-07,10.0,Food,
2025-06-08,19.0,Food,
2025-06-08,10.0,Gifts,
2025-06-09,10.0,Food,
2025-06-09,11.0,Taxi,
2025-06-09,1.0,Public transport,
2025-06-09,18.0,Loan given,
2025-06-10,13.0,Taxi,
2025-06-10,10.0,Taxi,
2025-06-10,12.0,Health,
2025-06-10,1.0,Public transport,
2025-06-10,43.0,Health,
2025-06-10,1.0,Public transport,
2025-06-10,1.0,Public transport,
2025-06-11,43.0,Health,
2025-06-11,11.0,Food,
2025-06-11,1.0,Public transport,
2025-06-12,16.0,Food,
2025-06-13,1.0,Public transport,
2025-06-14,1.0,Public transport,
2025-06-14,16.0,Taxi,
2025-06-16,1.0,Public transport,
2025-06-16,1.0,Public transport,
2025-06-16,5.0,Health,
2025-06-16,5.0,Food,
2025-06-16,1.0,Public transport,
2025-06-16,6.0,Cafe,
2025-06-16,1.0,Public transport,
2025-06-17,1.0,Public transport,
2025-06-18,28.0,Leisure,
2025-06-18,1.0,Public transport,
2025-06-18,1.0,Public transport,
2025-06-19,15.0,Cafe,
2025-06-19,11.0,Taxi,
2025-06-20,2.0,Food,
2025-06-20,1.0,Public transport,
2025-06-20,1.0,Public transport,
2025-06-20,21.0,Taxi,
2025-06-20,3.0,Cafe,
2025-06-20,29.0,Cafe,
2025-06-20,2.0,Public transport,
2025-06-21,25.0,Health,
2025-06-22,8.0,Leisure,
2025-06-23,16.0,Cafe,
2025-06-24,16.0,Taxi,
2025-06-24,4.0,Cafe,
2025-06-24,2.0,Public transport,
2025-06-25,1.0,Public transport,
2025-06-25,6.0,Food,
2025-06-25,1.0,Public transport,
2025-06-25,1.0,Public transport,
2025-06-25,5.0,Food,
2025-06-26,11.0,Cafe,
2025-06-26,1.0,Public transport,
2025-06-27,18.0,Taxi,
2025-06-27,5.0,Food,
2025-06-27,1.0,Public transport,
2025-06-27,1.0,Public transport,
2025-06-27,1.0,Public transport,
2025-06-28,11.0,Leisure,
2025-06-28,20.0,Cafe,
2025-06-28,1.0,Public transport,
2025-06-28,6.0,Food,
2025-06-29,17.0,Food,
2025-06-30,6.0,Food,
2025-06-30,21.0,Cafe,
2025-06-30,1.0,Public transport,
2025-06-30,8.0,Food,
2025-06-30,1.0,Public transport,
2025-07-01,4.0,Food,
2025-07-02,59.0,Gifts,
2025-07-02,5.0,Food,
2025-07-02,1.0,Public transport,
2025-07-02,4.0,Food,
2025-07-02,1.0,Public transport,
2025-07-02,1.0,Public transport,
2025-07-03,9.0,Cafe,
2025-07-03,1.0,Public transport,
2025-07-04,15.0,Food,
