date,amount,category,Text
2025-10-29,2.0,Public transport,
2025-10-29,20.0,Leisure,
2025-10-29,17.0,Leisure,
2025-10-29,1.0,Food,
2025-10-29,22.0,Food,
2025-10-29,2.0,Public transport,
2025-10-29,1.0,Cafe,
2025-10-29,5.0,Cafe,
2025-10-30,1.0,Health,
2025-10-30,1.0,Public transport,
2025-10-30,1.0,Public transport,
2025-10-31,1.0,Public transport,
2025-10-31,1.0,Public transport,
2025-10-31,30.0,Gifts,
2025-11-01,1.0,Public transport,
2025-11-01,2.0,Food,
2025-11-03,38.0,Leisure,
2025-11-03,2.0,Cafe,
2025-11-03,1.0,Public transport,
2025-11-03,11.0,Cafe,
2025-11-03,3.0,Cafe,
2025-11-03,1.0,Public transport,
2025-11-04,2.0,Cafe,
2025-11-04,1.0,Public transport,
2025-11-04,1.0,Public transport,
2025-11-04,1.0,Public transport,
2025-11-04,2.0,Food,
2025-11-05,299.0,Clothes,
2025-11-05,3.0,Cafe,
2025-11-05,12.0,Cafe,
2025-11-05,1.0,Public transport,
2025-11-06,31.0,Cafe,
2025-11-07,11.0,Cafe,
2025-11-07,35.0,Leisure,
2025-11-10,1.0,Public transport,
2025-11-10,1.0,Public transport,
2025-11-10,6.0,Cafe,
2025-11-10,1.0,Public transport,
2025-11-11,1.0,Public transport,
2025-11-11,5.0,Cafe,
2025-11-11,1.0,Public transport,
2025-11-12,10.0,Cafe,
2025-11-12,1.0,Public transport,
2025-11-13,1.0,Public transport,
2025-11-13,23.0,Loan given,
2025-11-13,4.0,Cafe,
2025-11-13,2.0,Public transport,
2025-11-13,1.0,Public transport,
2025-11-13,1.0,Public transport,
2025-11-13,36.0,Health,
2025-11-13,1.0,Public transport,
2025-11-15,3.0,Food,
2025-11-15,1.0,Public transport,
2025-11-15,3.0,Food,
2025-11-15,3.0,Cafe,
2025-11-15,1.0,Public transport,
2025-11-16,2.0,Public transport,
2025-11-17,1.0,Public transport,
2025-11-17,3.0,Cafe,
2025-11-17,2.0,Cafe,
2025-11-17,1.0,Public transport,
2025-11-18,79.0,Gifts,
2025-11-18,1.0,Public transport,
2025-11-18,2.0,Cafe,
2025-11-18,5.0,Cafe,
2025-11-18,9.0,Taxi,
2025-11-18,1.0,Public transport,
2025-11-18,3.0,Cafe,
2025-11-19,1.0,Public transport,
2025-11-20,1.0,Public transport,
2025-11-20,2.0,Public transport,
2025-11-20,9.0,Cafe,
2025-11-20,1.0,Public transport,
2025-11-20,8.0,Cafe,
2025-11-21,2.0,Public transport,
2025-11-21,11.0,Cafe,
2025-11-21,1.0,Public transport,
2025-11-21,1.0,Public transport,
2025-11-22,11.0,Food,
2025-11-24,9.0,Food,
2025-11-24,1.0,Public transport,
2025-11-24,1.0,Public transport,
2025-11-24,4.0,Cafe,
2025-11-24,1.0,Public transport,
2025-11-24,1.0,Public transport,
2025-11-25,1.0,Public transport,
2025-11-25,1.0,Public transport,
2025-11-25,11.0,Cafe,
2025-11-25,18.0,Taxi,
2025-11-26,2.0,Cafe,
2025-11-26,1.0,Public transport,
2025-11-27,1.0,Public transport,
2025-11-27,10.0,Cafe,
2025-11-27,1.0,Public transport,
2025-11-29,5.0,Food,
2025-11-30,114.0,Health,
